date,variant,daily_return,growth_of_1,drawdown
2021-06-16,momentum,-0.014396557239421473,1.049270473816623,-0.03250443401251413
2021-06-17,momentum,-0.006577918011550296,1.0423684586679167,-0.0388685405221183
2021-06-18,momentum,-0.01150407688820657,1.0303769717735596,-0.04992547073162601
2021-06-21,momentum,0.009674098874953213,1.040344940476972,-0.040734355796909094
2021-06-22,momentum,-5.639822407082782e-05,1.040286266869908,-0.04078845667565434
2021-06-23,momentum,-0.008925567140866153,1.0310011219492397,-0.04934996370788958
2021-06-24,momentum,0.004803844993763793,1.0359538915274804,-0.04478318829022632
2021-06-25,momentum,0.00455078341017933,1.0406682933107543,-0.04043620347037313
2021-06-28,momentum,0.006419398045778115,1.0473487573191365,-0.03427638151013157
2021-06-29,momentum,-0.0008908321021175763,1.0464157454240035,-0.03513667911125562
2021-06-30,momentum,0.010727310545485782,1.0576409720848527,-0.0247862906341334
2021-07-01,momentum,-0.003461834354841307,1.0539795942326018,-0.02816231895652821
2021-07-02,momentum,0.005964715068773792,1.0602662822005011,-0.022365584096005975
2021-07-06,momentum,-0.0003492139921555676,1.0598960223793459,-0.022706987713252524
2021-07-07,momentum,0.003627459981146329,1.0637407527847031,-0.019161896421328484
2021-07-08,momentum,-0.007078831759928722,1.0562107109595602,-0.026105084340289464
2021-07-09,momentum,0.008708984216080165,1.0654092333701617,-0.01762344889168843
2021-07-12,momentum,0.0004991887305752566,1.065941073652911,-0.017133057588193834
2021-07-13,momentum,-0.00034500813403386945,1.0655733153120999,-0.017472154677998897
2021-07-14,momentum,0.005889488739494073,1.0718489973537357,-0.011685567996735702
2021-07-15,momentum,8.363275773920863e-05,1.0719386390412644,-0.01160291253527379
2021-07-16,momentum,-0.0027854708842729252,1.0689527851724878,-0.014356063844506939
2021-07-19,momentum,-0.011353218904119524,1.0568167302042564,-0.025546295213198178
2021-07-20,momentum,0.006922273762181647,1.064132304927184,-0.018800859900091726
2021-07-21,momentum,-0.0034976844398933718,1.0604103059222523,-0.022232784864856026
2021-07-22,momentum,0.0013606774667874202,1.0618531823310697,-0.020902359047458186
2021-07-23,momentum,0.009551180757977897,1.071995134013948,-0.011550820499010572
2021-07-26,momentum,0.0003809469414014199,1.0724035072814477,-0.011174273807349033
2021-07-27,momentum,-0.003518495770835789,1.0686302600764486,-0.014653452943051426
2021-07-28,momentum,0.0013852511465567347,1.0701105813694647,-0.013288500508985113
2021-07-29,momentum,-0.0014574445534652576,1.068550954531042,-0.014726577809759944
2021-07-30,momentum,-0.0024881780131670137,1.0658922095400294,-0.01717811347581144
2021-08-02,momentum,-0.0036857148808259847,1.0619636347619712,-0.020800514728175123
2021-08-03,momentum,0.00805328558887386,1.0705159311977077,-0.012914741624802994
2021-08-04,momentum,-0.009191383844189738,1.0606764083627493,-0.021987421121470674
2021-08-05,momentum,0.007428084062169545,1.0685552018868278,-0.014722661471701759
2021-08-06,momentum,-0.0039122518418367265,1.064374744830142,-0.018577314554079072
2021-08-09,momentum,0.0006516695922405266,1.0650683654860964,-0.017937751232839028
2021-08-10,momentum,0.011423883527385893,1.077235582442113,-0.006718786486280215
2021-08-11,momentum,0.004655546090380785,1.0822507023463703,-0.0020945200160578104
2021-08-12,momentum,0.005656404243112506,1.0883723498112337,0.0
2021-08-13,momentum,0.0035692184901731164,1.092256988526373,0.0
2021-08-16,momentum,0.010357761412004268,1.1035703258141236,0.0
2021-08-17,momentum,0.004957247863160419,1.1090409974536128,0.0
2021-08-18,momentum,-0.012298905246890375,1.095401007311014,-0.012298905246890368
2021-08-19,momentum,0.004149132529470113,1.0999459712632624,-0.008200802505257121
