rebalance_date,effective_date,fund_id,ticker,asset_class,sector,pre_trade_weight,weight,trade_weight_change,rebalance_turnover,estimation_end
2021-01-04,2021-01-05,combined_max_sharpe,NKE,equity,Consumer,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,NUE,equity,Materials,3.405982741582707e-15,3.405982741582707e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,NVDA,equity,Tech,0.11705147081915171,0.11705147081915171,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,O,equity,RealEstate,6.891222774584159e-16,6.891222774584159e-16,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,OXY,equity,Energy,6.030771138864502e-15,6.030771138864502e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,PLD,equity,RealEstate,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,PSA,equity,RealEstate,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,QCOM,equity,Tech,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,SBUX,equity,Consumer,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,SHW,equity,Materials,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,SLB,equity,Energy,1.1137168545816433e-14,1.1137168545816433e-14,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,SO,equity,Utilities,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,T,equity,Comm,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,TMUS,equity,Comm,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,TRX-USD,crypto,,1.3326539466309383e-15,1.3326539466309383e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,TTWO,equity,Comm,0.03245467253789003,0.03245467253789003,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,UPS,equity,Industrials,0.07571824706697912,0.07571824706697912,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,USB,equity,Financials,1.8373976596497886e-15,1.8373976596497886e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,V,equity,Financials,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,WFC,equity,Financials,9.536041045219598e-15,9.536041045219598e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,WMT,equity,Consumer,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,XLM-USD,crypto,,0.11477639854341266,0.11477639854341266,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,XOM,equity,Energy,5.020609757278849e-15,5.020609757278849e-15,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_max_sharpe,XRP-USD,crypto,,1.3622849673450247e-14,1.3622849673450247e-14,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,ABBV,equity,Healthcare,0.1631744284049029,0.1631744284049029,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,ABT,equity,Healthcare,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,ADA-USD,crypto,,4.2691354728052214e-17,4.2691354728052214e-17,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,ADBE,equity,Tech,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,AEP,equity,Utilities,2.8482256991530086e-17,2.8482256991530086e-17,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,AMD,equity,Tech,2.9484331260062436e-18,2.9484331260062436e-18,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,AMGN,equity,Healthcare,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,AMT,equity,RealEstate,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,BA,equity,Industrials,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,BCH-USD,crypto,,1.4796491922336832e-17,1.4796491922336832e-17,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,BTC-USD,crypto,,4.5686134776630203e-17,4.5686134776630203e-17,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,CAT,equity,Industrials,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,CCI,equity,RealEstate,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,CMCSA,equity,Comm,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,COP,equity,Energy,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,CVX,equity,Energy,4.737667414480777e-18,4.737667414480777e-18,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,D,equity,Utilities,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,DD,equity,Materials,2.7390375080693402e-17,2.7390375080693402e-17,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,DIS,equity,Consumer,1.4261463337988825e-17,1.4261463337988825e-17,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,DOW,equity,Materials,3.394021605513437e-18,3.394021605513437e-18,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,DUK,equity,Utilities,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,EA,equity,Comm,0.0739344581401895,0.0739344581401895,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,EOS-USD,crypto,,2.3236639066745425e-18,2.3236639066745425e-18,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,ETC-USD,crypto,,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,ETH-USD,crypto,,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,GE,equity,Industrials,0.0,0.0,0.0,0.0,2021-01-04
