date,fund_id,asset_family,method,daily_return,growth_of_1,drawdown
2021-01-21,equity_min_variance,equity,min_variance,-0.00944452748473916,1.0251723154123351,-0.009444527484739229
2021-01-21,equity_risk_parity,equity,risk_parity,-0.006772840025919485,1.0350057347160233,-0.006772840025919602
2021-01-22,combined_equal_weight,combined,equal_weight,0.007203485763467949,1.0383837743581086,-0.030502672361632843
2021-01-22,combined_max_sharpe,combined,max_sharpe,0.043949107912410926,1.125511704971261,-0.11065178700063083
2021-01-22,combined_min_variance,combined,min_variance,-0.0005006139430823191,1.024659115510441,-0.009940409505739378
2021-01-22,combined_risk_parity,combined,risk_parity,0.004464034980433066,1.0323876228842956,-0.020797924208068364
2021-01-22,crypto_equal_weight,crypto,equal_weight,0.06613524737229379,1.3745079604383579,-0.13238014998006542
2021-01-22,crypto_max_sharpe,crypto,max_sharpe,0.09189968442913389,1.408170131602856,-0.09460252117687906
2021-01-22,crypto_min_variance,crypto,min_variance,0.06630389705703535,1.1214189090783127,-0.18397275131352697
2021-01-22,crypto_risk_parity,crypto,risk_parity,0.06602970631777869,1.3571605333469072,-0.1343515772964362
2021-01-22,equity_equal_weight,equity,equal_weight,-0.0032219530331335814,1.0383209760639023,-0.011240483030777848
2021-01-22,equity_max_sharpe,equity,max_sharpe,-0.00614338663719395,1.0017349290357846,-0.014240309175699517
2021-01-22,equity_min_variance,equity,min_variance,-0.000500614660648433,1.0246590991215487,-0.009940414076465953
2021-01-22,equity_risk_parity,equity,risk_parity,-0.002771530953291896,1.0321371842854232,-0.009525599843437926
2021-01-23,crypto_equal_weight,crypto,equal_weight,-0.0034401886486236316,1.369779393755415,-0.13536492593942462
2021-01-23,crypto_max_sharpe,crypto,max_sharpe,-0.016355737766031588,1.3851384702004015,-0.10941096491453628
2021-01-23,crypto_min_variance,crypto,min_variance,-0.024967621997702364,1.0934197456553696,-0.20434701119855592
2021-01-23,crypto_risk_parity,crypto,risk_parity,-0.004055573497583538,1.3516564690558992,-0.13786227809777774
2021-01-24,crypto_equal_weight,crypto,equal_weight,0.030516130491210446,1.4115797604794265,-0.10897960919211458
2021-01-24,crypto_max_sharpe,crypto,max_sharpe,0.05776294650679499,1.4651481495590912,-0.05796791812135638
2021-01-24,crypto_min_variance,crypto,min_variance,0.008032066594436256,1.1022021658681451,-0.1979562734064404
2021-01-24,crypto_risk_parity,crypto,risk_parity,0.03047653553172669,1.3928502754617695,-0.11158730718298282
2021-01-25,combined_equal_weight,combined,equal_weight,-0.0023735445007057802,1.0359191242608587,-0.032803817412097924
2021-01-25,combined_max_sharpe,combined,max_sharpe,-0.004084076114897076,1.1209150294999508,-0.1142839527951679
2021-01-25,combined_min_variance,combined,min_variance,0.0034972967217958787,1.028242652476074,-0.006477877345521299
2021-01-25,combined_risk_parity,combined,risk_parity,0.00015221515590329283,1.0325447679272655,-0.020648874811441065
2021-01-25,crypto_equal_weight,crypto,equal_weight,-0.024624496943985753,1.3768203189813086,-0.1309205380825924
