date,sentiment,n_tickers,n_headlines,index_0_100,standardised_sentiment,news_available,model
2020-07-14,0.12119398073476703,31,122,56.05969903673835,-0.007135470071209853,True,vader_finance_enhanced
2020-07-15,0.1669146434660821,34,119,58.3457321733041,0.992846931385248,True,vader_finance_enhanced
2020-07-16,0.10860786754095576,34,102,55.43039337704779,-0.28241345041268584,True,vader_finance_enhanced
2020-07-17,-0.0002455640589569199,28,75,49.98772179705215,-2.6632082472366223,True,vader_finance_enhanced
2020-07-20,0.10300620608347881,33,134,55.15031030417394,-0.4049305475359796,True,vader_finance_enhanced
2020-07-21,0.2016195177045177,32,144,60.08097588522588,1.7518968097113883,True,vader_finance_enhanced
2020-07-22,0.1752396111111111,30,84,58.76198055555556,1.1749269941053708,True,vader_finance_enhanced
2020-07-23,0.06334611111111112,38,111,53.16730555555556,-1.2723588533224544,True,vader_finance_enhanced
2020-07-24,0.165701248982499,36,154,58.28506244912495,0.9663080962695362,True,vader_finance_enhanced
2020-07-27,0.0990690520282187,36,139,54.95345260141094,-0.4910422644684301,True,vader_finance_enhanced
2020-07-28,0.13632581175160122,27,120,56.81629058758006,0.3238213405850633,True,vader_finance_enhanced
2020-07-29,0.12099137011568614,41,178,56.04956850578431,-0.011566881195316715,True,vader_finance_enhanced
2020-07-30,0.07773266199562712,43,197,53.886633099781356,-0.9577024847847263,True,vader_finance_enhanced
2020-07-31,0.12890498299319728,28,141,56.44524914965986,0.16151620939668002,True,vader_finance_enhanced
2020-08-03,0.13964646792749735,39,161,56.982323396374866,0.3964492846876646,True,vader_finance_enhanced
2020-08-04,0.11687069841269841,35,143,55.843534920634916,-0.10169241610680119,True,vader_finance_enhanced
2020-08-05,0.0788753475390156,35,135,53.94376737695078,-0.9327101647804812,True,vader_finance_enhanced
2020-08-06,0.16053254761904762,30,80,58.02662738095238,0.8532605135560143,True,vader_finance_enhanced
2020-08-07,0.15361056711145998,28,90,57.680528355573,0.7018659738160786,True,vader_finance_enhanced
2020-08-10,0.17632011739011738,37,104,58.81600586950587,1.1985593563486554,True,vader_finance_enhanced
2020-08-11,0.15896235402494333,28,102,57.94811770124717,0.818917923856226,True,vader_finance_enhanced
2020-08-12,0.06087237253487253,33,97,53.04361862674363,-1.326463384933897,True,vader_finance_enhanced
2020-08-13,-0.014166628264208916,31,71,49.291668586789555,-2.967683694073546,True,vader_finance_enhanced
2020-08-14,0.12754129901960787,34,69,56.37706495098039,0.1316903080804329,True,vader_finance_enhanced
2020-08-17,0.15972828828828828,37,127,57.98641441441441,0.8356701041235709,True,vader_finance_enhanced
2020-08-18,0.10194813523065477,32,114,55.09740676153274,-0.4280722119194529,True,vader_finance_enhanced
2020-08-19,0.11067371212121212,26,88,55.5336856060606,-0.23723019844320728,True,vader_finance_enhanced
2020-08-20,0.1025100936100936,39,112,55.125504680504676,-0.41578130325322904,True,vader_finance_enhanced
2020-08-21,0.11814305555555556,30,93,55.90715277777778,-0.07386397541464307,True,vader_finance_enhanced
2020-08-24,0.13958734567901235,36,101,56.97936728395062,0.3951561886455758,True,vader_finance_enhanced
2020-08-25,0.09883097222222223,28,86,54.941548611111116,-0.496249442184504,True,vader_finance_enhanced
2020-08-26,0.12263220588235292,34,88,56.13161029411765,0.024320763303398524,True,vader_finance_enhanced
2020-08-27,0.07870709586466165,36,128,53.93535479323308,-0.936390092045715,True,vader_finance_enhanced
2020-08-28,0.03102066568047337,26,80,51.551033284023674,-1.9793669021742661,True,vader_finance_enhanced
2020-08-31,0.13432967833800186,40,129,56.716483916900096,0.280162780859257,True,vader_finance_enhanced
2020-09-01,0.08361236559139786,31,100,54.18061827956989,-0.8291041712365737,True,vader_finance_enhanced
2020-09-02,0.14254788095238094,30,75,57.12739404761905,0.4599077253776096,True,vader_finance_enhanced
2020-09-03,0.14825731527093597,29,87,57.4128657635468,0.5847819835303928,True,vader_finance_enhanced
2020-09-04,0.07526975446428572,32,78,53.76348772321429,-1.011570124504417,True,vader_finance_enhanced
2020-09-08,0.026003797868797866,39,143,51.30018989343989,-2.0890936476414264,True,vader_finance_enhanced
2020-09-09,0.10584766414141415,24,70,55.292383207070706,-0.3427834157432936,True,vader_finance_enhanced
2020-09-10,0.12153276515151515,22,52,56.07663825757576,0.0002742749849083024,True,vader_finance_enhanced
2020-09-11,0.03569708333333334,28,64,51.78485416666667,-1.8770863341474744,True,vader_finance_enhanced
2020-09-14,0.06645113136979897,31,149,53.322556568489944,-1.204447203985688,True,vader_finance_enhanced
2020-09-15,0.0777896223316913,29,91,53.88948111658457,-0.9564566731485311,True,vader_finance_enhanced
2020-09-16,0.12994710497835496,28,78,56.49735524891775,0.1843090471001194,True,vader_finance_enhanced
2020-09-17,0.1327151552353896,32,106,56.635757761769476,0.24485063547665442,True,vader_finance_enhanced
2020-09-18,0.07476142238713668,28,76,53.73807111935683,-1.0226881420675502,True,vader_finance_enhanced
2020-09-21,0.026835596774193546,31,115,51.34177983870968,-2.070900904639547,True,vader_finance_enhanced
2020-09-22,0.25682529472443266,29,70,62.84126473622164,2.9593334954625194,True,vader_finance_enhanced
2020-09-23,0.12099756944444445,24,72,56.049878472222225,-0.011431292179567221,True,vader_finance_enhanced
2020-09-24,0.12535586860670195,27,75,56.267793430335104,0.08389152691760389,True,vader_finance_enhanced
2020-09-25,0.08454351851851853,24,64,54.22717592592593,-0.808738400388996,True,vader_finance_enhanced
2020-09-28,0.13106643036401164,38,154,56.55332151820058,0.20879044391927581,True,vader_finance_enhanced
2020-09-29,0.16364558201058202,30,81,58.1822791005291,0.9213474445123097,True,vader_finance_enhanced
2020-09-30,0.1745846918767507,34,128,58.72923459383753,1.160602886150409,True,vader_finance_enhanced
2020-10-01,0.1488308066239316,26,103,57.441540331196585,0.5973251363659773,True,vader_finance_enhanced
2020-10-02,0.1167450518925519,26,76,55.83725259462759,-0.10444050201467897,True,vader_finance_enhanced
2020-10-05,0.17910895691609977,35,137,58.95544784580499,1.2595556385516788,True,vader_finance_enhanced
2020-10-06,0.1280162962962963,30,79,56.400814814814815,0.1420792414215684,True,vader_finance_enhanced
2020-10-07,0.1931184349206349,25,78,59.65592174603175,1.565964833458892,True,vader_finance_enhanced
2020-10-08,0.085407079228243,29,114,54.270353961412155,-0.7898509770507017,True,vader_finance_enhanced
2020-10-09,0.13637535273368606,27,86,56.8187676366843,0.3249048793457949,True,vader_finance_enhanced
2020-10-12,0.17994080040594326,35,149,58.99704002029716,1.2777493566851625,True,vader_finance_enhanced
2020-10-13,-0.019213806530214424,30,115,49.03930967348928,-3.078073376582723,True,vader_finance_enhanced
2020-10-14,0.18104074485636645,32,124,59.05203724281832,1.301806862138808,True,vader_finance_enhanced
2020-10-15,0.21790626420454545,32,91,60.89531321022727,2.1081134282831786,True,vader_finance_enhanced
2020-10-16,0.21978955769230768,25,91,60.98947788461538,2.1493040023482806,True,vader_finance_enhanced
2020-10-19,0.21102182022932023,37,130,60.551091011466006,1.9575398712134788,True,vader_finance_enhanced
2020-10-20,0.18334033333333333,25,64,59.16701666666666,1.352102458706876,True,vader_finance_enhanced
2020-10-21,0.12339752232142857,32,88,56.16987611607143,0.04105943078769122,True,vader_finance_enhanced
2020-10-22,0.062088241436925644,30,128,53.10441207184628,-1.2998704304162334,True,vader_finance_enhanced
2020-10-23,0.2642560636363636,25,95,63.21280318181818,3.1218560333550265,True,vader_finance_enhanced
2020-10-26,0.11026245014245013,39,146,55.5131225071225,-0.24622514113611943,True,vader_finance_enhanced
2020-10-27,0.04859757284035409,32,132,52.429878642017705,-1.5949324521487607,True,vader_finance_enhanced
2020-10-28,0.08891878262213977,35,179,54.44593913110699,-0.7130445314908809,True,vader_finance_enhanced
2020-10-29,0.08414354010025063,38,124,54.20717700501253,-0.8174865539663138,True,vader_finance_enhanced
2020-10-30,0.11060031306367243,32,113,55.53001565318362,-0.23883555062837805,True,vader_finance_enhanced
